@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
1.106450709,147520800,1.782813667,-2.355295625,0.612607759,-0.004891818,TRUE
1.136199683,68530000,1.835249317,-2.424568966,0.612607759,-0.004762264,TRUE
1.10040279,59267600,1.782813667,-2.355295625,0.612607759,-0.004891818,TRUE
1.118841036,77280000,1.817770819,-2.401477921,0.612607759,-0.004804679,TRUE
1.1466743,77854000,1.870206469,-2.470751261,0.612607759,-0.004679641,TRUE
1.083469915,65977800,1.771161179,-2.33990139,0.612607759,-0.004921571,TRUE
1.039523181,78723400,1.707073197,-2.25523402,0.612607759,-0.005091905,TRUE
1.065932503,97564600,1.759508847,-2.32450736,0.612607759,-0.004951688,TRUE
1.057922115,107990400,1.753682681,-2.316810345,0.612607759,-0.004966885,TRUE
1.053626437,73466400,1.753682681,-2.316810345,0.612607759,-0.004966885,TRUE
1.087108054,51609600,1.817770819,-2.401477921,0.612607759,-0.004804679,TRUE
1.074895951,87129000,1.806118331,-2.386083685,0.612607759,-0.004833379,TRUE
1.008217691,127058400,1.70124703,-2.247537005,0.612607759,-0.005107976,TRUE
1.030502897,82615400,1.747856515,-2.30911333,0.612607759,-0.004982176,TRUE
1.052200054,101550400,1.794465999,-2.370689655,0.612607759,-0.004862423,TRUE
1.105984567,81043200,1.899337455,-2.509236541,0.612607759,-0.004612947,FALSE
1.158093173,182950600,2.004208756,-2.647783222,0.612607759,-0.004387822,FALSE
1.1358322,104885200,1.980904091,-2.616995162,0.612607759,-0.00443593,FALSE
1.105577724,51214800,1.940120773,-2.563115852,0.612607759,-0.004522707,FALSE
1.069377489,74783800,1.887684967,-2.493842306,0.612607759,-0.004639395,TRUE
0.979618708,97755000,1.736204183,-2.2937193,0.612607759,-0.005013041,TRUE
1.023812662,110832400,1.823596985,-2.409174936,0.612607759,-0.004790457,TRUE
1.063414656,119443800,1.905163621,-2.516933556,0.612607759,-0.004599836,TRUE
1.019285527,132329400,1.835249317,-2.424568966,0.612607759,-0.004762264,TRUE
1.012641907,117579000,1.829423151,-2.416871951,0.612607759,-0.004776319,TRUE
1.05719794,89002200,1.916815953,-2.532327586,0.612607759,-0.004573836,FALSE
1.008774735,124801600,1.835249317,-2.424568966,0.612607759,-0.004762264,TRUE
1.027440965,92843800,1.876032635,-2.478448276,0.612607759,-0.004666148,TRUE
